State,Oxygen Needed Daily(tonnes)
Andaman and Nicobar Islands,1.179454277
Andhra Pradesh,256.9441143
Arunachal Pradesh,2.034558628
Assam,44.28850811
Bihar,298.5788503
Chandigarh,18.34051401
Chhattisgarh,448.8413252
Dadra and Nagar Haveli and Daman and Diu,6.162648599
Delhi,745.8279123
Goa,34.32211947
Gujarat,349.4133297
Haryana,255.9710645
Himachal Pradesh,41.57576328
Jammu & Kashmir,51.8959882
Jharkhand,149.8496659
Karnataka,633.7502696
Kerala,603.0844584
Ladakh,5.808812316
Lakshadweep,3.626821903
Madhya Pradesh,371.6165564
Maharashtra,1929.64617
Manipur,2.270449484
Meghalaya,3.921685472
Mizoram,2.005072271
Nagaland,1.621749631
Odisha,140.0307091
Puducherry,20.96479978
Punjab,150.5573385
Rajasthan,370.5255612
Sikkim,2.181990413
Tamil Nadu,337.4123824
Telangana,171.7580291
Tripura,2.093531342
Uttar Pradesh,925.2523942
Uttarakhand,99.84080458
West Bengal,294.8045966